Wall time,Step,Value
1721805698.616094,6000,51.0
1721807270.1464596,18000,51.0
1721807418.7475164,19200,38.0
1721807878.7327387,22800,51.0
1721808031.9845362,24000,51.0
1721808529.4942992,27600,51.0
1721809202.6955733,32400,36.0
1721809374.1670558,33600,51.0
1721811449.7192752,49200,51.0
1721812574.8027413,57600,25.0
1721812736.0338213,58800,51.0
1721812901.1149654,60000,51.0
1721813750.0770376,66000,51.0
1721815082.7417157,75600,51.0
1721815249.2504158,76800,51.0
1721815756.3038597,80400,51.0
1721815932.9372945,81600,51.0
1721816449.178143,85200,51.0
1721816615.885982,86400,51.0
1721817653.0876873,93600,51.0
1721818508.5756938,99600,51.0
1721819712.7299047,108000,43.0
1721821387.57716,120000,51.0
1721822027.1278856,124800,51.0
1721822513.7102191,128400,46.0
1721822673.955655,129600,51.0
1721824080.6572723,140400,51.0
1721824849.230306,146400,51.0
1721825433.7079954,151200,51.0
1721825574.3188884,152400,51.0
1721825859.4360359,154800,51.0
1721826164.9593236,157200,51.0
1721827082.7407763,164400,51.0
1721827234.522584,165600,51.0
1721828378.6355655,174000,51.0
1721828715.3310215,176400,51.0
1721828883.1569853,177600,51.0
1721829389.0232294,181200,51.0
1721830569.3078108,189600,51.0
1721831065.1768708,193200,51.0
1721831394.9355636,195600,51.0
1721831727.9639542,198000,51.0
1721832886.7201142,206400,51.0
1721833043.483985,207600,51.0
1721833854.7426283,213600,51.0
1721835026.5569282,222000,51.0
1721835193.4183667,223200,51.0
1721835366.112488,224400,51.0
1721836052.320944,229200,51.0
1721836223.0917053,230400,51.0
1721836386.3953202,231600,51.0
1721837543.2014134,240000,51.0
1721837994.316584,243600,51.0
1721838155.7168186,244800,51.0
1721838322.408504,246000,51.0
1721838488.541256,247200,51.0
1721838796.1432998,249600,51.0
1721839431.1958718,254400,51.0
1721839738.778291,256800,51.0
1721840055.5371256,259200,51.0
1721840842.6119788,265200,50.0
1721841000.8652864,266400,45.0
1721841459.3094513,270000,41.0
1721842257.757092,276000,51.0
1721844643.3999138,294000,51.0
1721844798.9343998,295200,23.0
1721844952.829666,296400,51.0
1721846843.5961213,310800,51.0
1721846985.3019361,312000,51.0
1721847123.9500864,313200,51.0
1721848809.9352586,326400,51.0
1721849293.2990136,330000,50.0
1721849611.5729184,332400,51.0
1721849920.420979,334800,51.0
1721850571.7099462,339600,51.0
1721851076.539906,343200,51.0
1721851574.5266798,346800,51.0
1721851909.2515457,349200,51.0
1721852743.7828436,355200,50.0
1721853067.4120708,357600,51.0
1721853233.7168856,358800,51.0
1721854563.003891,368400,51.0
1721854896.4489007,370800,40.0
1721855499.0411422,375600,51.0
1721856126.017149,380400,51.0
1721856445.185102,382800,48.0
1721856600.3294058,384000,51.0
1721857072.4734256,387600,51.0
1721859366.721616,405600,51.0
1721859520.6368794,406800,51.0
1721860310.0859346,412800,51.0
1721860627.7434194,415200,51.0
1721860789.112891,416400,45.0
1721861776.3405118,423600,51.0
1721862102.30565,426000,51.0
1721862759.438176,430800,51.0
1721863732.9453545,438000,51.0
1721863888.5392277,439200,51.0
1721864053.509091,440400,51.0
1721864204.794699,441600,51.0
1721866014.8580034,454800,51.0
