Wall time,Step,Value
1719774895.6254327,1200,-9.363567352294922
1719774992.2956834,2400,-6.538548946380615
1719775091.5284457,3600,-5.097354412078857
1719775187.6108234,4800,-4.413722515106201
1719775288.7944279,6000,-5.037036895751953
1719775384.9155376,7200,-7.700244426727295
1719775484.3448367,8400,-9.91774845123291
1719775585.367098,9600,-7.649206161499023
1719775684.7185252,10800,-6.494505405426025
1719775784.2390265,12000,-5.332063674926758
1719775884.0305994,13200,-4.72089958190918
1719775976.4719532,14400,-6.2213640213012695
1719776078.6495776,15600,-3.5440115928649902
1719776185.015923,16800,-3.84074068069458
1719776283.927833,18000,-2.5578644275665283
1719776392.4454675,19200,-2.5742714405059814
1719776496.294177,20400,-2.071622133255005
1719776601.146855,21600,-4.036825180053711
1719776708.3901598,22800,-2.985302686691284
1719776815.3240411,24000,-1.3177293539047241
1719776917.0239956,25200,-2.5916919708251953
1719777027.148719,26400,-1.2890424728393555
1719777133.5261662,27600,-1.3754960298538208
1719777235.6509423,28800,-1.6449987888336182
1719777343.3323395,30000,-1.1101634502410889
1719777447.5141711,31200,-2.5125060081481934
1719777553.62716,32400,-1.209024429321289
1719777661.0697606,33600,-1.2334740161895752
1719777760.0219436,34800,-0.9616802930831909
1719777863.2359195,36000,-1.4027777910232544
1719777970.4157157,37200,-0.7737213373184204
1719778080.9514408,38400,-0.7355889678001404
1719778191.1385005,39600,-0.7869488596916199
1719778304.341133,40800,-1.3097442388534546
1719778417.0218701,42000,-0.9310405850410461
1719778529.7841282,43200,-1.2510823011398315
1719778644.8186307,44400,-1.1433982849121094
1719778757.620194,45600,-0.8196694254875183
1719778874.9023697,46800,-0.8167116045951843
1719778989.5331602,48000,-0.9277310967445374
1719779106.7765677,49200,-0.4753550589084625
1719779222.7079906,50400,-0.8927850127220154
1719779339.9691417,51600,-0.7887668013572693
1719779461.0358553,52800,-0.7878929376602173
1719779578.3365145,54000,-0.5724053978919983
1719779697.137507,55200,-0.47425809502601624
1719779817.5661497,56400,-0.39063960313796997
1719779934.7988226,57600,-0.9279235601425171
1719780049.6408124,58800,-0.554460883140564
1719780164.9094803,60000,-0.3996265232563019
1719780279.957785,61200,-0.7029675841331482
1719780401.2038248,62400,-0.5067360401153564
1719780520.874346,63600,-0.49323445558547974
1719780642.7898157,64800,-0.5075555443763733
1719780761.6874008,66000,-0.7433583736419678
1719780880.611628,67200,-0.43737494945526123
1719780998.1450527,68400,-0.8612898588180542
1719781118.6940253,69600,-0.5851254463195801
1719781241.6651726,70800,-0.5378684997558594
1719781364.7050664,72000,-0.29606112837791443
1719781481.350224,73200,-0.5849454402923584
1719781607.0684493,74400,-0.2789651155471802
1719781727.7732608,75600,-0.3058939278125763
1719781853.7518418,76800,-0.3202052712440491
1719781976.2785513,78000,-0.36964887380599976
1719782096.5946705,79200,-0.4910503327846527
1719782217.936418,80400,-0.2345907986164093
1719782340.3411586,81600,-0.31453338265419006
1719782469.755772,82800,-0.4064091145992279
1719782596.9568186,84000,-0.415826678276062
1719782721.3825588,85200,-0.4434676468372345
1719782845.872453,86400,-0.4101921617984772
1719782973.528973,87600,-0.27190113067626953
1719783098.6287563,88800,-0.3530513644218445
1719783229.7626736,90000,-0.27551019191741943
1719783345.5907223,91200,-0.20264549553394318
1719783467.0319293,92400,-0.37886688113212585
1719783591.099553,93600,-0.31675708293914795
1719783715.4422836,94800,-0.24209049344062805
1719783834.3867843,96000,-0.3127845525741577
1719783959.2033176,97200,-0.33896204829216003
1719784082.065541,98400,-0.2343846559524536
1719784204.0380306,99600,-0.3650793731212616
1719784326.9269648,100800,-0.3208349049091339
1719784436.2100408,102000,-0.3171449601650238
1719784558.0208056,103200,-0.28978174924850464
1719784681.658575,104400,-0.36155202984809875
1719784796.1295166,105600,-0.22810889780521393
1719784920.2445235,106800,-0.38835978507995605
1719785038.744046,108000,-0.6660653948783875
1719785156.872428,109200,-0.31305113434791565
1719785280.0438192,110400,-0.22608605027198792
1719785400.2346263,111600,-0.3764948844909668
1719785516.2452953,112800,-0.32740890979766846
1719785634.2077987,114000,-0.4029463529586792
1719785750.4546225,115200,-0.30054983496665955
1719785867.9030137,116400,-0.3251851797103882
1719785977.1597707,117600,-0.2960372865200043
1719786101.402876,118800,-0.32896560430526733
1719786215.4382102,120000,-0.40573254227638245
1719786340.445106,121200,-0.31209149956703186
1719786468.9984283,122400,-0.28527942299842834
1719786591.0257876,123600,-0.3526695668697357
1719786714.737449,124800,-0.3028933107852936
1719786838.235754,126000,-0.2887755036354065
1719786952.5214534,127200,-0.30124717950820923
1719787079.2367382,128400,-0.42194727063179016
1719787194.1324294,129600,-0.4123830497264862
1719787321.5823605,130800,-0.21568627655506134
1719787443.9977157,132000,-0.39079365134239197
1719787563.4445648,133200,-0.340104341506958
1719787683.740595,134400,-0.2719954550266266
1719787806.2536635,135600,-0.3349509537220001
1719787924.157619,136800,-0.3599857985973358
1719788045.7398021,138000,-0.41645461320877075
1719788171.3563461,139200,-0.4012550711631775
1719788291.2241886,140400,-0.3841269910335541
1719788414.841937,141600,-0.39714285731315613
1719788537.5506785,142800,-0.38363680243492126
1719788655.2345996,144000,-0.2127186357975006
1719788770.2885625,145200,-0.3377777636051178
1719788884.0190387,146400,-0.34037473797798157
1719788983.8522022,147600,-0.28520554304122925
1719789102.0246725,148800,-0.32404911518096924
1719789227.207402,150000,-0.29673439264297485
1719789344.6919186,151200,-0.5616797804832458
1719789464.9477475,152400,-0.3840086758136749
1719789588.8879554,153600,-0.4365079402923584
1719789711.5372126,154800,-0.3266914188861847
1719789835.963868,156000,-0.3896764814853668
1719789961.951611,157200,-0.33656859397888184
1719790083.950746,158400,-0.42250531911849976
1719790210.4467404,159600,-0.29028207063674927
1719790326.110125,160800,-0.3982575535774231
1719790440.8411589,162000,-0.3638676702976227
1719790560.0433254,163200,-0.34854498505592346
1719790682.6234095,164400,-0.3631923496723175
1719790799.1293092,165600,-0.24338623881340027
1719790910.3934324,166800,-0.5174851417541504
1719791032.3473923,168000,-0.2608024775981903
1719791154.1616127,169200,-0.48968878388404846
1719791275.6271527,170400,-0.35338911414146423
1719791394.6441822,171600,-0.3162578046321869
1719791515.3162646,172800,-0.4670194089412689
1719791640.5770836,174000,-0.3222222328186035
1719791767.447307,175200,-0.3332112431526184
1719791892.5873377,176400,-0.2574440836906433
1719792016.7485876,177600,-0.3747301697731018
1719792143.6627126,178800,-0.33633294701576233
1719792268.8919086,180000,-0.4501763582229614
1719792389.9092317,181200,-0.3216931223869324
1719792514.539746,182400,-0.42416226863861084
1719792635.5571706,183600,-0.49760645627975464
1719792753.4734232,184800,-0.5160520076751709
1719792878.7202554,186000,-0.39471638202667236
1719793000.3526957,187200,-0.3823719322681427
1719793122.1348586,188400,-0.32002800703048706
1719793226.3512568,189600,-0.39249640703201294
1719793337.831737,190800,-0.4084804058074951
1719793452.7462933,192000,-0.4282238483428955
1719793573.4401243,193200,-0.3374149799346924
1719793694.2178035,194400,-0.3710711598396301
1719793812.2199676,195600,-0.3682314455509186
1719793932.126093,196800,-0.43422484397888184
1719794058.816635,198000,-0.36639299988746643
1719794178.4384017,199200,-0.3960754871368408
1719794296.7129185,200400,-0.43908044695854187
1719794414.2754147,201600,-0.5255174040794373
1719794533.517904,202800,-0.3890923857688904
1719794653.6417994,204000,-0.35194700956344604
1719794770.1802127,205200,-0.33159542083740234
1719794886.2366393,206400,-0.43783068656921387
1719795007.3556428,207600,-0.4551072418689728
1719795127.723674,208800,-0.38417473435401917
1719795247.8415039,210000,-0.5281385183334351
1719795364.64195,211200,-0.40525031089782715
1719795489.0005217,212400,-0.3481322228908539
1719795613.2547672,213600,-0.3534151017665863
1719795735.94284,214800,-0.3857485353946686
1719795854.787742,216000,-0.23644180595874786
1719795974.684786,217200,-0.31122449040412903
1719796097.2731504,218400,-0.4054621756076813
1719796221.5319593,219600,-0.42126479744911194
1719796346.3955038,220800,-0.4937764108181
1719796468.6695929,222000,-0.44432327151298523
1719796588.6297479,223200,-0.32907751202583313
1719796711.0435128,224400,-0.5070229768753052
1719796830.2119365,225600,-0.40514594316482544
1719796946.355248,226800,-0.34873950481414795
1719797052.8631241,228000,-0.38166844844818115
1719797172.2916107,229200,-0.43073591589927673
1719797292.9249954,230400,-0.3251563310623169
1719797415.2275686,231600,-0.5451428294181824
1719797539.5452962,232800,-0.3926366865634918
1719797659.7439325,234000,-0.31317344307899475
1719797782.7699564,235200,-0.4228670597076416
1719797905.6066916,236400,-0.4524356722831726
